DZ11CD,IMD16
S01007896,1335
S01007897,2813
S01007898,4729
S01007899,2668
S01007900,770
S01007901,1043
S01007902,339
S01007903,1443
S01007904,3215
S01007905,746
S01007906,723
S01007907,1567
S01007908,2889
S01007909,2457
S01007910,1253
S01007911,2351
S01007912,1484
S01007913,566
S01007914,1219
S01007915,2045
S01007916,1479
S01007917,1649
S01007918,1428
S01007919,6126
S01007920,5271
S01007921,761
S01007922,543
S01007923,3156
S01007924,1296
S01007925,4764
S01007926,4526
S01007927,4642
S01007928,4819
S01007929,5430
S01007930,5305
S01007931,4647
S01007932,6304
S01007933,4223
S01007934,2580
S01007935,2384
S01007936,6755
S01007937,5753
S01007938,2415
S01007939,1327
S01007940,2238
S01007941,5761
S01007942,2982
S01007943,3013
S01007944,2293
S01007945,1174
S01007946,1486
S01007947,3320
S01007948,696
S01007949,3851
S01007950,5475
S01007951,3067
S01007952,624
S01007953,2191
S01007954,473
S01007955,1395
S01007956,1542
S01007957,1929
S01007958,903
S01007959,3587
S01007960,2381
S01007961,3319
S01007962,806
S01007963,44
S01007964,820
S01007965,1159
S01007966,584
S01007967,605
S01007968,2215
S01007969,1646
S01007970,1617
S01007971,1186
S01007972,2629
S01007973,5391
S01007974,856
S01007975,1323
S01007976,1001
S01007977,3980
S01007978,1934
S01007979,3506
S01007980,4622
S01007981,5117
S01007982,5201
S01007983,1469
S01007984,3382
S01007985,1141
S01007986,3326
S01007987,2936
S01007988,2294
S01007989,1340
S01007990,2491
S01007991,5371
S01007992,5736
S01007993,5905
S01007994,5855
S01007995,5676
S01007996,6366
S01007997,5437
S01007998,4269
S01007999,1357
S01008000,729
S01008001,159
S01008002,87
S01008003,1928
S01008004,5334
S01008005,5302
S01008006,29
S01008007,59
S01008008,868
S01008009,235
S01008010,961
S01008011,89
S01008012,734
S01008013,1347
S01008014,4263
S01008015,2029
S01008016,2033
S01008017,6472
S01008018,6332
S01008019,6280
S01008020,4440
S01008021,6216
S01008022,6084
S01008023,6475
S01008024,6124
S01008025,4661
S01008026,2408
S01008027,1752
S01008028,3947
S01008029,3631
S01008030,3241
S01008031,2154
S01008032,2827
S01008033,6390
S01008034,6799
S01008035,4507
S01008036,6166
S01008037,2372
S01008038,2981
S01008039,3850
S01008040,5642
S01008041,4816
S01008042,5707
S01008043,6478
S01008044,6711
S01008045,5238
S01008046,1982
S01008047,6887
S01008048,6422
S01008049,6777
S01008050,6300
S01008051,6490
S01008052,6617
S01008053,6968
S01008054,5860
S01008055,6609
S01008056,6079
S01008057,6193
S01008058,6082
S01008059,6274
S01008060,6430
S01008061,5645
S01008062,6054
S01008063,6361
S01008064,2377
S01008065,6602
S01008066,6954
S01008067,6571
S01008068,6173
S01008069,5778
S01008070,4372
S01008071,5244
S01008072,5479
S01008073,5968
S01008074,5892
S01008075,6702
S01008076,6689
S01008077,6920
S01008078,6412
S01008079,6696
S01008080,5966
S01008081,6491
S01008082,5893
S01008083,6432
S01008084,4720
S01008085,5139
S01008086,5528
S01008087,6187
S01008088,5769
S01008089,5998
S01008090,5223
S01008091,5409
S01008092,6363
S01008093,6373
S01008094,6476
S01008095,4892
S01008096,5879
S01008097,5810
S01008098,5176
S01008099,5179
S01008100,5186
S01008101,4760
S01008102,3955
S01008103,2038
S01008104,1913
S01008105,1667
S01008106,1157
S01008107,6426
S01008108,5491
S01008109,6466
S01008110,6497
S01008111,6271
S01008112,6133
S01008113,5826
S01008114,5863
S01008115,4215
S01008116,5677
S01008117,4757
S01008118,4145
S01008119,2770
S01008120,4765
S01008121,6860
S01008122,6847
S01008123,6900
S01008124,6388
S01008125,6535
S01008126,6003
S01008127,6473
S01008128,6210
S01008129,2569
S01008130,2071
S01008131,1149
S01008132,6544
S01008133,2725
S01008134,2744
S01008135,2713
S01008136,2436
S01008137,458
S01008138,740
S01008139,1373
S01008140,1891
S01008141,5874
S01008142,6097
S01008143,1795
S01008144,5744
S01008145,1887
S01008146,2194
S01008147,2920
S01008148,3315
S01008149,2241
S01008150,2121
S01008151,2182
S01008152,1955
S01008153,5132
S01008154,4841
S01008155,4645
S01008156,2978
S01008157,4432
S01008158,6156
S01008159,1202
S01008160,2056
S01008161,5275
S01008162,4317
S01008163,1906
S01008164,4287
S01008165,5622
S01008166,2394
S01008167,1425
S01008168,1758
S01008169,2502
S01008170,5280
S01008171,2635
S01008172,3893
S01008173,5090
S01008174,4087
S01008175,2853
S01008176,5593
S01008177,2737
S01008178,4573
S01008179,6645
S01008180,6557
S01008181,6435
S01008182,2519
S01008183,4267
S01008184,2974
S01008185,2349
S01008186,3164
S01008187,1437
S01008188,1491
S01008189,3617
S01008190,1770
S01008191,2663
S01008192,1998
S01008193,3667
S01008194,3175
S01008195,1460
S01008196,1639
S01008197,6498
S01008198,2767
S01008199,1380
S01008200,1338
S01008201,1508
S01008202,3158
S01008203,1097
S01008204,2289
S01008205,2353
S01008206,2336
S01008207,2216
S01008208,4715
S01008209,5742
S01008210,3895
S01008211,2583
S01008212,5711
