LSOA11CD,LSOA11NM,IMD14
W01000176,Conwy 011D,624
W01000922,Neath Port Talbot 007C,625
W01001834,Cardiff 033E,626
W01000931,Neath Port Talbot 020E,627
W01000329,Flintshire 015D,628
W01001650,Newport 004E,629
W01001462,Blaenau Gwent 006A,630
W01000773,Swansea 005A,631
W01001384,Caerphilly 002C,632
W01000221,Denbighshire 003B,633
W01000953,Neath Port Talbot 005B,634
W01000056,Gwynedd 009A,635
W01000306,Flintshire 002A,636
W01001665,Newport 008D,637
W01001218,Rhondda Cynon Taf 018B,638
W01001395,Caerphilly 023C,639
W01000028,Isle of Anglesey 001D,640
W01001524,Torfaen 004D,641
W01001622,Newport 003F,642
W01001259,Rhondda Cynon Taf 018E,643
W01000637,Carmarthenshire 007A,644
W01001522,Torfaen 007D,645
W01000681,Carmarthenshire 011B,646
W01000220,Denbighshire 001C,647
W01001158,Rhondda Cynon Taf 028B,648
W01000111,Gwynedd 007C,649
W01000312,Flintshire 011B,650
W01000438,Powys 012A,651
W01000216,Denbighshire 002D,652
W01001061,The Vale of Glamorgan 015C,653
W01000589,Pembrokeshire 012A,654
W01000238,Denbighshire 006C,655
W01000980,Bridgend 016A,656
W01000750,Swansea 002A,657
W01000386,Wrexham 015A,658
W01000912,Neath Port Talbot 010A,659
W01000718,Carmarthenshire 010D,660
W01001355,Caerphilly 015A,661
W01001899,Powys 021F,662
W01000901,Neath Port Talbot 014D,663
W01000038,Isle of Anglesey 009D,664
W01001541,Torfaen 004F,665
W01000656,Carmarthenshire 010A,666
W01001168,Rhondda Cynon Taf 004B,667
W01001917,Rhondda Cynon Taf 023G,668
W01000273,Flintshire 007A,669
W01001013,Bridgend 005B,670
W01000063,Gwynedd 005A,671
W01000652,Carmarthenshire 020B,672
W01000636,Carmarthenshire 025B,673
W01000950,Neath Port Talbot 018B,674
W01001671,Newport 016D,675
W01001121,The Vale of Glamorgan 014E,676
W01000508,Ceredigion 009B,677
W01000419,Wrexham 016D,678
W01000085,Gwynedd 017C,679
W01000952,Neath Port Talbot 018D,680
W01001337,Caerphilly 004B,681
W01001521,Torfaen 007C,682
W01001139,Rhondda Cynon Taf 005C,683
W01000591,Pembrokeshire 012C,684
W01001487,Torfaen 001A,685
W01001148,Rhondda Cynon Taf 002A,686
W01001001,Bridgend 010C,687
W01001528,Torfaen 010D,688
W01001832,Cardiff 033C,689
W01001262,Rhondda Cynon Taf 022D,690
W01001281,Rhondda Cynon Taf 017F,691
W01001329,Caerphilly 014C,692
W01000697,Carmarthenshire 015A,693
W01000724,Carmarthenshire 011C,694
W01000809,Swansea 008A,695
W01001233,Rhondda Cynon Taf 001F,696
W01001175,Rhondda Cynon Taf 009A,697
W01001365,Caerphilly 012C,698
W01000374,Wrexham 003A,699
W01000366,Wrexham 014A,700
W01000194,Denbighshire 011A,701
W01000334,Flintshire 009C,702
W01000603,Pembrokeshire 013D,703
W01000891,Neath Port Talbot 015C,704
W01001713,Cardiff 040E,705
W01001152,Rhondda Cynon Taf 002B,706
W01000602,Pembrokeshire 013C,707
W01001686,Newport 014C,708
W01000332,Flintshire 009A,709
W01001833,Cardiff 033D,710
W01001258,Rhondda Cynon Taf 019E,711
W01000146,Conwy 001B,712
W01001330,Caerphilly 018A,713
W01000605,Pembrokeshire 013F,714
W01001250,Rhondda Cynon Taf 024B,715
W01001709,Cardiff 040A,716
W01001149,Rhondda Cynon Taf 003A,717
W01000852,Swansea 021D,718
W01000330,Flintshire 015E,719
W01000199,Denbighshire 011C,720
W01000022,Isle of Anglesey 004A,721
W01001314,Merthyr Tydfil 005A,722
W01001927,Conwy 010G,723
W01000753,Swansea 002D,724
W01001433,Caerphilly 013E,725
W01000683,Carmarthenshire 005C,726
W01001092,The Vale of Glamorgan 007B,727
W01000590,Pembrokeshire 012B,728
W01000672,Carmarthenshire 027E,729
W01000882,Swansea 029D,730
W01001957,Swansea 025G,731
W01000129,Conwy 012B,732
W01000841,Swansea 005C,733
W01000259,Flintshire 017A,734
W01000646,Carmarthenshire 003A,735
W01000702,Carmarthenshire 001D,736
W01001111,The Vale of Glamorgan 011E,737
W01001628,Newport 001F,738
W01001558,Monmouthshire 002C,739
W01000846,Swansea 001B,740
W01000948,Neath Port Talbot 004D,741
W01000009,Isle of Anglesey 007C,742
W01000587,Pembrokeshire 010A,743
W01000086,Gwynedd 008B,744
W01000927,Neath Port Talbot 020B,745
W01001234,Rhondda Cynon Taf 021E,746
W01000947,Neath Port Talbot 004C,747
W01000996,Bridgend 008A,748
W01001248,Rhondda Cynon Taf 016D,749
W01001283,Rhondda Cynon Taf 015D,750
W01000201,Denbighshire 008B,751
W01000145,Conwy 008B,752
W01001523,Torfaen 004C,753
W01000760,Swansea 013A,754
W01000065,Gwynedd 009B,755
W01000678,Carmarthenshire 002C,756
W01001155,Rhondda Cynon Taf 002D,757
W01001424,Caerphilly 024C,758
W01000754,Swansea 002E,759
W01001065,The Vale of Glamorgan 012B,760
W01001411,Caerphilly 017A,761
W01000746,Swansea 025C,762
W01000401,Wrexham 005D,763
W01001063,The Vale of Glamorgan 012A,764
W01001589,Monmouthshire 010E,765
W01000685,Carmarthenshire 001A,766
W01000097,Gwynedd 003D,767
W01001256,Rhondda Cynon Taf 019C,768
W01000566,Pembrokeshire 002C,769
W01001644,Newport 013C,770
W01001504,Torfaen 013A,771
W01000621,Pembrokeshire 016D,772
W01001477,Blaenau Gwent 009E,773
W01000719,Carmarthenshire 010E,774
W01001165,Rhondda Cynon Taf 019B,775
W01001187,Rhondda Cynon Taf 001B,776
